药剂名称	代码代号	原始Buff (EFT完全描述) [snippet-id]	原始Debuff (EFT完全描述) [snippet-id]	鸭科夫Buff设计	鸭科夫Debuff设计	建议价格	品阶	原始价格(₽)
Morphine (吗啡)	Stim_Morphine	移除震颤、移除疼痛(305s)、止痛状态(305s) 	能量(-10)、水分(-15) 	"施加镇静 1082 45s  new AddBuffData { buff = 1082, chance = 1f },
施加出血免疫buff 1019 60s  new AddBuffData { buff = 1019, chance = 1f },"	能量+5，水分-10 new FoodData { energyValue = +5f, waterValue = -10f }	580	2	~19,615
Adrenaline (肾上腺素)	Stim_Adrenaline	耐力(+10/60s)、力量(+10/60s)、控枪(+10/60s)、回血(+4/s /15s)、移除震颤/疼痛(65s) 	压力抗性(-10/60s)；延迟50s后：能量恢复(-0.8/s)、水分恢复(-1/s /30s) 	"缓慢回血 5/s 持续15s
控枪+10% 
施加镇静 1082 45s
施加出血免疫buff 1019 60s "	"能量-5，水分-10
能量水分消耗速率 +10% 30s"	610	2	~19,983
L1 (去甲肾上腺素)	Stim_L1	耐力(+10/120s)、力量(+20/120s)、最大体力(+30/120s)、移除疼痛(120s) 	能量恢复(-0.45/s /60s)、水分恢复(-0.45/s /60s) 	"施加镇静 1083 180s
施加出血免疫buff 1019 60s 
增加耐力上限 Stamina + 20"	"能量-2，水分-5
能量水分消耗速率 +5% 60s"	880	2	~24,034
P22 (防护针)	Stim_P22	压力抗性(+30/60s)、健康(+30/60s)、生命力(+30/60s) 	延迟65s后：耐力(-10/60s)、体力恢复(-0.8/s /60s) 	"物理减伤 ElementFactor_Physics -15% 持续30s
生命值提升 MaxHealth +40 持续30s"	"耐力 Stamina -10
耐力恢复速度 StaminaRecoverRate -15%"	920	2	~25,397
AHF1-M (凝血针)		停止并预防轻/重度流血(60s)、健康(+5/60s) 	水分恢复(-0.3/s /120s) 	方案3: 免疫“流血”	方案3: 水分缓慢减少	1100	2	~30,103
Propital (普罗皮醛)	Stim_Propital	代谢(+20)、健康(+20)、生命力(+20)、回血(+1/s)、移除震颤/疼痛(245s) 	延迟270s后：手部震颤(30s)、隧道视觉(30s) 	"缓慢回血 2/s 持续180s
生命值提升 MaxHealth +20 持续180s"	延迟180s 控枪-15% 	850	2	~33,897
Obdolbos (鸡尾酒)	Stim_Obdolbos2	25%概率触发：耐力/力量/智力/注意力/压力抗性/魅力(+10)、最大体力(+20)、回血(+1/s)、体力恢复(+1/s)、负重上限(+0.1kg) (持续600s) 	25%概率触发：受伤害+20%、手部震颤、水分恢复(-1/s)、能量恢复(-1/s)、回血(-600/s 即瞬死) 	方案4: 随机属性增加	方案4: 25%概率扣血死亡	1200	3	~38,913
PNB (肌肉针)		力量(+20/40s)、回血(+3/s /40s)、移除震颤(40s) 	延迟41s后：健康(-20/180s)、生命力(-20/180s)、手部震颤(20s)	方案1+4: 缓慢回血(15点)；护甲属性提升	方案1+5: 生命-20, 手部震颤	2250	3	~41,164
SJ1 (体能针)	Stim_SJ1	耐力(+20/180s)、力量(+20/180s)、压力抗性(+20/180s) 	延迟100s后：能量恢复(-0.2/s)、水分恢复(-0.3/s) (持续200s) 	方案4: RunSpeed+15%	方案1: 水分-10, 能量-10	1800	3	~43,993
Zagustin (止血针)	Stim_Zagustin	生命力(+20/180s)、停止并预防流血(180s) 	代谢(-5/180s)；延迟170s后：水分恢复(-1.4/s /40s)、手部震颤(40s) 	方案3: 免疫“流血”	方案3: 水分极快缓慢减少	1850	3	~46,537
SJ12 (代谢针)	Stim_SJ12	感知(+30/600s)、降低体温(-4°C/600s)、能量/水分恢复(+0.05/s) 	延迟606s后：体温升高(+6°C /300s) 	方案2+4: 恢复水分能量(20点)；感知范围增加	方案1: 结束后能量-10	2350	3	~47,461
Meldonin (米屈肼)	Stim_Meldonin	力量(+10/900s)、耐力(+20/900s)、体力恢复(+0.5/s /900s)、减少物理受损 	延迟30s后：能量恢复(-0.1/s /900s)、水分恢复(-0.1/s /900s) 	方案4: ElementFactor_Physics-10%	方案3: 水分/能量缓慢减少	2100	3	~50,418
xTG-12 (解毒针)		移除并预防中毒/毒素(60s) 	健康(-5/60s) 	方案3: 免疫“中毒/毒素”	方案1: 生命-5	2200	3	~50,983
3-(b-TG) (感知针)		注意力(+30/240s)、感知(+30/240s)、力量(+10/240s)、体力恢复(+1/s /240s) 	延迟120s后：能量恢复(-0.25/s /120s)；延迟220s后：手部震颤(45s) 	方案4: SenseRange+50%	方案5: 手部震颤	2300	3	~53,361
SJ9 (冷血针)	Stim_SJ9	降低体温(-7°C/300s) 	代谢(-20/300s)、健康恢复(-0.1/s /420s)、震颤(420s)；延迟300s后触发疼痛(120s) 	方案4: VisableDistanceFactor-30%	方案2+5: 生命缓慢减少, 手部震颤	2500	3	~56,511
2A2-(b-TG) (侦察针)	Stim_2A2bTG	注意力(+10/900s)、感知(+10/900s)、负重上限(+15%/900s) 	水分恢复(-0.1/s /900s) 	方案4: MaxWeight+15%, SenseRange+15%	方案3: 水分缓慢减少	2400	3	~57,865
Perfotoran (蓝血)	Stim_Perfotoran	回血(+1.5/s /60s)、代谢(+5/60s)、移除辐射(60s)、移除并预防中毒(60s)、止血 	无(仅在治疗重流血时产生“新伤口”) 	方案1+3: 缓慢回血(20点)；免疫流血/辐射	无	2150	3	~64,319
Obdolbos 2	Stim_Obdolbos2	耐力/力量/注意力/感知(+20)、负重上限(+45%) (持续1800s)	最大体力(-20)、体力恢复(-1/s)、回血(-1/s) (持续1800s)	方案4: MaxWeight+45%, 力量/耐力+20	方案2: 生命缓慢减少	4500	4	~81,880
SJ6 (耐力针)	Stim_SJ6	最大体力(+30/240s)、体力恢复(+2/s /240s) 	延迟200s后：手部震颤(40s)、隧道视觉(40s) 	方案4: StaminaRecoverRate+30%, Stamina+20	方案5: 手部震颤	3200	4	~84,741
eTG-change (绿针)	Stim_eTGc	回血(+6.5/s /60s)、能量恢复(+0.5/s /60s)、代谢/免疫(+20/90s) 	延迟65s后触发：健康/耐力(-5/60s)、能量恢复(-3/s /20s) 	方案1+2: 极速回血(60点)；缓慢恢复能量	方案3: 能量极快缓慢减少	3500	4	~101,092
M.U.L.E. (负重针)	Stim_MULE	负重上限(+50%/900s) 	回血(-0.1/s /900s) 	方案4: MaxWeight+50%	方案2: 生命缓慢减少	3650	4	~102,254
Trimadol (特美多)	Stim_Trimadol	耐力/力量/注意力/压力抗性(+10)、最大体力(+10)、体力恢复(+3/s)、移除震颤/疼痛 (持续180s) 	能量恢复(-0.5/s /180s)、水分恢复(-0.5/s /180s) 	方案3+4: 免疫“镇痛”；StaminaRecoverRate+50%	方案3: 水分/能量缓慢减少	4200	4	~167,325
SJ15 (巅峰针)		力量/耐力/注意力/感知(+20)、负重上限(+30%)、最大体力(+40)、体力恢复(+2/s)、回血(+5/s)、止血/解毒 (持续900s) 	延迟900s后：50%概率回血(-600/s 即瞬死) 	方案1+4: 缓慢回血(40点)；全属性爆发	方案4: 50%概率药效后猝死	7200	5	无法交易
Obdolbos N		魅力(+50/1800s)、25%概率止血 	注意力/智力(-50/1800s)、震颤、25%概率回血(-1008/s 即瞬死) 	方案4: 魅力属性极大提升	方案4: 25%概率触发即死	7500	5	无法交易
